p_link,decoder,observable,shots,errors,ler,ci95_low,ci95_high
0.008,correlated,top,2000000,57,2.85e-05,2.199965703379381e-05,3.692095920599277e-05
0.008,correlated,either,2000000,114,5.7e-05,4.7453245612004606e-05,6.846726114641586e-05
0.008,correlated,both,2000000,2,1e-06,2.7423611196339397e-07,3.646485767737844e-06
0.009,standard,bottom,2000000,91,4.55e-05,3.706287301242978e-05,5.585767792268227e-05
0.009,standard,top,2000000,96,4.8e-05,3.931078731093193e-05,5.8609754020551516e-05
0.009,standard,either,2000000,179,8.95e-05,7.731441090188767e-05,0.00010360597100936091
0.009,standard,both,2000000,8,4e-06,2.0269008623170016e-06,7.893809493029908e-06
0.009,correlated,bottom,2000000,62,3.1e-05,2.418451821295753e-05,3.973608842320043e-05
0.009,correlated,top,2000000,59,2.95e-05,2.2872030686338254e-05,3.804858171199687e-05
0.009,correlated,either,2000000,118,5.9e-05,4.927202187006108e-05,7.06484772054565e-05
0.009,correlated,both,2000000,3,1.5e-06,5.101354923330419e-07,4.4105844666424744e-06
0.01,standard,bottom,2000000,99,4.95e-05,4.066264913739491e-05,6.025788643191136e-05
0.01,standard,top,2000000,98,4.9e-05,4.021177836256808e-05,5.970875912746391e-05
0.01,standard,either,2000000,185,9.25e-05,8.009707737367382e-05,0.00010682329301322043
0.01,standard,both,2000000,12,6e-06,3.4323831008528894e-06,1.0488319571591137e-05
0.01,correlated,bottom,2000000,73,3.65e-05,2.9032594841324874e-05,4.588799066685016e-05
0.01,correlated,top,2000000,67,3.35e-05,2.6381664388857102e-05,4.253893264367226e-05
0.01,correlated,either,2000000,132,6.6e-05,5.566060847631376e-05,7.825986370904375e-05
0.01,correlated,both,2000000,8,4e-06,2.0269008623170016e-06,7.893809493029908e-06
