architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,86a28092a1f81ca603623003a51551184ddaea1d66e0bbfde0f51f1f758ce2b9,71b47dc8834b0076c3f2b4544d55617292778a06131766eaf742fe87667d1f8a,3a4c8b3cbc657401695eec140201a92c2cbf3b0d38d5997f28740c925c3976ce,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,b50632f97c3b54710e558df6011bf6369fd1e9d45a236522f03d8752e58fddc9,476666b251cfc19f44d68b2a256af781ef8a2d941a9f59009c43f212645afe07,ee186dc04b84b1ead65c901ef4f6564e9d1ceec59187a673bc8b1881c5c9ce13,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,a4f5d8c13b62142dd77fa037edfca5bc38683d9a9681c98596f9b0469b4993fc,7a10a16c4b241746f492eb6f65551f535e82bbcf0c545be8afca25165b53f8f5,03fd9c5cfdf9af152004c2771537533981231704a972e7f71af78c4a2a06cc52,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,12.0,153,26703,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,e6d7a97a8e5ea26233c5bae36f2249c3b1e675304f1b882df1e0c4726c84436c,2a4b40bb30c13e50b427f398c44164443416017d68c6f8c74551bf1d537d1620,2ca3a20b4a30cd23a42fb29c6a09eb50817cdbdda1c00fd3ea4ab373436b6529,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,12.0,153,26703,45000000,45000000,2,0,4.444444444444445e-08,5.3824284574076025e-09,1.6054860551419843e-07,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,b9f6ff25726325b8d8c0ec7d645917eb76b223ecd21986edef3d09f3eb337fb4,046f2bae5a80769eab7c31dd53e302d029fb6ec3229e677ecc3c87560118d4de,9c259ec3239713143d29c8c05c5908378c87ac551a2752605dd3eac9167c4679,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,12.0,153,26703,45000000,45000000,5,0,1.1111111111111111e-07,3.607747628861617e-08,2.5929624913573544e-07,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,acb76274b41545a8405e4579bdb50ae191f5bc54783ec8e34e18f8844257f34f,ce3ccd66df0950368c468cf25cb50b4dc17922d973917e04c470e43176993b01,a07f8b47fe35b2b0c7613578c031f53d38af0a49b192553fb166a5463b1ef9ec,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,12.0,153,26703,45000000,45000000,14,0,3.111111111111111e-07,1.7008734957666755e-07,5.219915254416852e-07,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,6b9d8f63008da78e4f9037070c14fe23a444a8588ed200b7c089efc4f4891124,e25482db9ed74c1b89b8f9bb76b1068824d9e5b3ddd4f3e82fd4d54db9131209,c3c5d132c34fdd4a05d9a41d15e536d9b0955a97e7daea6b623d5f3c7adaed6f,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,12.0,153,26703,45000000,45000000,18,0,4e-07,2.3706536735456799e-07,6.321723770057093e-07,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,29ec2a2ad9551b25b8122bd8c9b3fa8a52a1d2a47a7b5d46a979df377adbe861,c52a6126affd121ce9c01c87bac474370282693f4d4ac6e1b3adf9adeeb4879f,cb09ee620492f6a90d19a64f3974714880b469ee108d7230f205d7f61bb27e09,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,12.0,153,26703,45000000,45000000,25,0,5.555555555555555e-07,3.5952629452920585e-07,8.201094848889127e-07,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,0b84fe262f340b29b36e6cef6ed1b8bddca91bbb3162f546cd0f2a75e967e490,4bd56d8a2d68d90306012e1ad176e7f1c04e539d86b15d64736530c5329008c2,6b01f643d6ccdc2713a1f6ed04ca9366aa8cb46b39b3953069cf98e8f290daf1,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
standard_d9,Z,d9-d9-d9 Z,Standard D9–D9–D9 · target-Z,standard_pymatching,False,False,"L0 = Z_C(mid,in) Z_T(mid,in) -> Z_T(mid,out)",decoded target-Z logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,12.0,153,26703,45000000,45000000,33,0,7.333333333333333e-07,5.04792975912435e-07,1.0298724975896929e-06,d49cf19b835fbd4ffcce9692418584db1e51a84aace84d0bc2346a7d14ea14ea,2f4548ffb8c515ac2e5be7006f7cd15d7cff6d50db45d0097884b9eee065a491,724a7932f4b70ca49f6a564c99ab630ddbbeee84cc347bb92825147530b8447f,62668289ee7f6a6e890e251b17d86dd9440f21a8b0d1687e2191bb6175aa9925,strict_decomposed,fixed_45000000_reuse_pinned_first_30000000_continue_batches_1200_through_1799,9,f09fce591609528624393b7a6357fb6ea0c39f972c54c26b4836a100407dcb1b,,,,,,
