architecture,logical_basis,legend_label,display_label,decoder,enable_correlations_at_compile,enable_correlations_at_decode,observable,metric,p_link,p1,bulk_p2,boundary_x,crossing_two_qubit_locations,bulk_two_qubit_locations,shots,retained_shots,logical_errors,discards,ler,clopper_pearson_95_low,clopper_pearson_95_high,circuit_sha256,noisy_circuit_sha256,strict_dem_sha256,native_dem_sha256,dem_model,sampling_policy,shortest_graphlike_error,source_manifest_sha256,source_native_architecture,total_two_qubit_locations,tqecd_version,tqecd_git_commit,detector_source_manifest_sha256,aggregation_manifest_sha256
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.001,0.0001,0.0001,10.0,91,12229,45000000,45000000,0,0,0.0,0.0,8.197509562035134e-08,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,0eae457aea6b18cba36030bd49a80e4f7cee50136933e6e9946988bae7cbbaf5,c043a80c481e3849da1309a90a942a86a181889ce97d1e7423a16eebfc9e5dd7,778d175c681b30c7d106ede04cefe4c8a3f67bdeeb0dcae4a9d50d0d4cdff176,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.002,0.0001,0.0001,10.0,91,12229,45000000,45000000,1,0,2.2222222222222224e-08,5.626179550481723e-10,1.2381429128983215e-07,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,66f5835a6ef6291f00ba30638bee0080deab54dc5dc8ceac74b1618917fcc01b,6173603dc1918c8a048b4e39605331df00185fc67cbf2476a9f94ddca3524686,d3ad2ae124e27c01ecbc6a176729c2c00a6b20e8460a27fa9f4646971073c07e,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.003,0.0001,0.0001,10.0,91,12229,45000000,45000000,7,0,1.5555555555555556e-07,6.254140335859939e-08,3.2050387050702154e-07,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,1692437f79a0a5f40890d7ff59e5d0ec39ad5201c5014e5bdbc50e43511385d0,77fbcd948dd59399d65cb6640cff78be68bb125c5323461a436059b07e40b107,f404f3ba718b2083879b2acfa5aaf32faf1b91443161748c539ca1ad3cc60568,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.004,0.0001,0.0001,10.0,91,12229,45000000,45000000,29,0,6.444444444444444e-07,4.315945997491171e-07,9.255295909381502e-07,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,67dbaf7379f41328924159e67a8a80607ce29e7075ed8c62ccf66450c934e66d,1c9c24099ce3bdef0b3c5edf60ca0e915631ed83e3080b73cbb6aab9899aaf98,b4c2db122d4333655041b02d7aecf305a072e7f1983179469c24a7ad28e143e6,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.005,0.0001,0.0001,10.0,91,12229,45000000,45000000,49,0,1.0888888888888889e-06,8.055660995853757e-07,1.4395686052063896e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,61d2ab8326c1df6bd1634bfdf8ce02b8ccbbd5bd35cd6b4365f2d718d57d2e29,d25093c123c76ecb60581397e0012ef4f96ba7b41dc44c998f6fe8e64f9f3e24,c1950c96a567334d355e600bf96a4e39e9f1536121540ce6afaaa36bbc40161c,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.006,0.0001,0.0001,10.0,91,12229,45000000,45000000,78,0,1.7333333333333334e-06,1.3701283048180238e-06,2.163277980529259e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,823f0df7f674fc116d174b65e981d580e92b0b59b36d808cef69444b10165890,dfb08ff9119c06b322daab4a2eef1cab2542dfb2766c1ea0750d2e145b5161ed,e41bf97a6a39aa5d2fe3a40ac3933067b4e85e7be067cdb17fa1478919b6a48a,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.007,0.0001,0.0001,10.0,91,12229,45000000,45000000,180,0,4e-06,3.4369764987532448e-06,4.628945808801181e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,d6ea28560918b725e35421ffe9380875687c5f743870e9e400a6b3ad69f490cc,dce535921ee912e644f16dc14ab890b0528b2ab673c113fef19964f66b23fbf1,4c3505358531ffe25c5113d54c5a83dea978964dce385a7b3c26e82deee06960,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.008,0.0001,0.0001,10.0,91,12229,45000000,45000000,240,0,5.333333333333334e-06,4.679875434688163e-06,6.052500610918948e-06,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,46d4dbb939f323146f70e858caf24048c00e4b76d0e79c627384b5bdd0b3b2bf,6d814bd4bf753c93316eed236ebd876d2730fce6f4a8ed15f375767b50ea5845,c85b9d5b03c6c270fc181aa4f5de138d9989ec33f0a5ec9fa917077e94f7175c,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.009,0.0001,0.0001,10.0,91,12229,45000000,45000000,411,0,9.133333333333333e-06,8.271577936525144e-06,1.0060471860186087e-05,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,37802d6069d7eda273f5e8d27da674b40770284b7790a0811c664f66a0610942,e335488f2c617fb4405f58b58f5532dfb366e9c822a48982a55d07b4f1380578,28ec6355d148d9012d144e6795758f144753a013cb5fe219fdaaa69489e5fe06,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
standard_d7,X,d7-d7-d7 X,Standard D7-D7-D7 · logical-X,standard_pymatching,False,False,L0 = X_C(in) X_T(in) -> X_C(out),decoded control-X/backward logical-flow failure probability per CNOT shot,0.01,0.0001,0.0001,10.0,91,12229,45000000,45000000,637,0,1.4155555555555555e-05,1.3077486963897227e-05,1.5298798095413164e-05,87c92f8f34b13a7205a42935f48322debf6d2e2d8ee59d6b42f102536aeee250,7e79f285339ea354a8e1b8c10bb64c85e08b08d286bde92e55c066edd30d9a84,ce8718f22f001f2d0afaecae9c2f4f22acfd8538a7c3ae4d49d3f26efd5d761e,a4298e043aa2483c76d2e41f2dbf1f14fbc504dd7f47a7c87d8c0dc6ac10673a,strict_decomposed,fresh_fixed_45000000_shots_per_rate_deterministic_disjoint_batches_standard_pymatching_only,7,18629ab582a5bb132bd6a92404a849709ff9b74121444eeaeef803dd184f2138,,,,,,
